公司名稱,員工人數,地址,抓取時間,業務,產業類別,網址,資本額,類型
圓展科技股份有限公司,500,新北市土城區,2020-05-25 11:54:00,,光電產業,https://www.104.com.tw/company/d25q6a8?jobsource=checkc,9億8200萬元,
上宇科技有限公司,暫不提供,台中市霧峰區,2020-05-04 10:10:00,,其他金屬相關製造業,https://www.104.com.tw/company/10xqiy5s?jobsource=checkc,2800萬元,
(美商箭牌)台灣留蘭香股份有限公司,160,台北市南港區,2020-05-25 11:55:00,,糖果點心製造業,https://www.104.com.tw/company/20cwqyo?jobsource=checkc,9400萬元,
台灣新光保全股份有限公司,2000,台北市內湖區,2020-05-11 10:01:00,,保全樓管相關業,https://www.104.com.tw/company/5msc8qo?jobsource=checkc,45億,
撼訊科技股份有限公司,240,新北市汐止區,2020-05-18 10:28:00,薛至廷,電腦及其週邊設備製造業,https://www.104.com.tw/company/7gk2qe0?jobsource=checkc,3億3290萬元,潛在客戶(Prospect)
西柏科技股份有限公司,300,新北市中和區,2020-05-25 11:54:00,,電腦及其週邊設備製造業,https://www.104.com.tw/company/b0i93bs?jobsource=checkc,6億,
薩摩亞商志強國際企業股份有限公司台灣分公司,暫不提供,台中市西屯區,2020-05-18 10:28:00,,鞋類製造業,https://www.104.com.tw/company/1a2x6bk850?jobsource=checkc,暫不提供,
南山產物保險股份有限公司,740,台北市中正區,2020-05-25 11:56:00,,產物保險業,https://www.104.com.tw/company/53k8l08?jobsource=checkc,40億,
龍光企業有限公司,50,新北市中和區,2020-05-18 10:29:00,,其他電子零組件相關業,https://www.104.com.tw/company/7c5xn00?jobsource=checkc,2100萬元,
ETC＿遠通電收股份有限公司,600,新北市板橋區,2020-05-25 11:56:00,,其他電信及通訊相關業,https://www.104.com.tw/company/19dh8x2w?jobsource=checkc,30億,
諾葳奇股份有限公司,暫不提供,台北市大安區,2020-05-25 11:56:00,,綜合商品批發代理業,https://www.104.com.tw/company/1a2x6bl7ci?jobsource=checkc,暫不提供,
聯邦工程顧問股份有限公司,20,台北市大安區,2020-05-25 11:56:00,,工商顧問服務業,https://www.104.com.tw/company/awz2vqo?jobsource=checkc,700萬元,
健策精密工業股份有限公司,1505,桃園市龜山區,2020-05-25 11:54:00,,其他電子零組件相關業,https://www.104.com.tw/company/aaptjn4?jobsource=checkc,15億,
永信集團_永鴻國際生技股份有限公司,150,新竹縣新豐鄉,2020-05-25 11:54:00,,藥品製造業,https://www.104.com.tw/company/1a2x6bjpqi?jobsource=checkc,5億5000萬元,
"Hyundai Engineering Co., Ltd.",5800,南韓,2020-05-04 10:07:00,,土木工程業,https://www.104.com.tw/company/1a2x6bl534?jobsource=checkc,暫不提供,
雙鴻科技股份有限公司,3000,新北市新莊區,2020-05-25 11:56:00,,其他電子零組件相關業,https://www.104.com.tw/company/7muwb1c?jobsource=checkc,8億3011萬元,
和成欣業股份有限公司,1140,桃園市八德區,2020-05-18 10:29:00,,玻璃及玻璃製品製造業,https://www.104.com.tw/company/1he1rb4?jobsource=checkc,36億9853萬元,潛在客戶(Prospect)
敦陽科技股份有限公司,601,新竹市,2020-05-25 11:55:00,,電腦系統整合服務業,https://www.104.com.tw/company/12otq70g?jobsource=checkc,10億6300萬元,
普羅威國際有限公司,暫不提供,台北市南港區,2020-05-11 10:02:00,,綜合商品批發代理業,https://www.104.com.tw/company/1a2x6bkmun?jobsource=checkc,暫不提供,
臺灣光榮特庫摩股份有限公司,8,台北市大安區,2020-05-25 11:56:00,,電腦軟體服務業,https://www.104.com.tw/company/5tfbknc?jobsource=checkc,3000萬元,
德國馬牌(Continental)_台灣開利耐特有限公司,40,台北市中山區,2020-05-04 10:10:00,,綜合商品批發代理業,https://www.104.com.tw/company/1a2x6bkbj0?jobsource=checkc,500萬元,
DHL_洋基通運股份有限公司,1000,台北市中山區,2020-05-04 10:10:00,,快遞服務業,https://www.104.com.tw/company/25kc5lk?jobsource=checkc,暫不提供,
世豐螺絲股份有限公司,290,高雄市橋頭區,2020-05-25 11:55:00,,其他金屬相關製造業,https://www.104.com.tw/company/ec7xwkw?jobsource=checkc,3億,
立樂高園股份有限公司,暫不提供,台北市松山區,2020-05-25 11:56:00,,人力仲介代徵,https://www.104.com.tw/company/1a2x6bj6wg?jobsource=checkc,500萬元,
貿聯國際股份有限公司,9300,新北市中和區,2020-05-25 11:54:00,,其他電子零組件相關業,https://www.104.com.tw/company/18jym5s8?jobsource=checkc,7000萬元,
鴻越資訊股份有限公司,30,高雄市前鎮區,2020-05-25 11:57:00,,電腦軟體服務業,https://www.104.com.tw/company/7qag6hs?jobsource=checkc,1000萬元,
源川國際股份有限公司,1000,台中市西屯區,2020-05-25 11:56:00,,綜合商品批發代理業,https://www.104.com.tw/company/1a2x6bjfrc?jobsource=checkc,暫不提供,
加拿大商_加國陽光能源科技股份有限公司,暫不提供,新竹縣湖口鄉,2020-05-25 11:55:00,,光電產業,https://www.104.com.tw/company/1a2x6bkb4e?jobsource=checkc,暫不提供,
海名斯集團_德謙企業股份有限公司,120,新竹縣湖口鄉,2020-05-25 11:55:00,,塗料／染料及顏料製造業,https://www.104.com.tw/company/2b5e5i0?jobsource=checkc,7億,
法商家樂福總公司_家福股份有限公司,12000,台北市北投區,2020-05-18 10:31:00,,量販流通相關業,https://www.104.com.tw/company/aesp3hv?jobsource=checkc,暫不提供,
信隆藥品工業股份有限公司,25,台南市仁德區,2020-05-11 10:04:00,,藥品製造業,https://www.104.com.tw/company/vhdndi0?jobsource=checkc,1000萬元,
旺旺中時媒體集團_工商財經數位股份有限公司,暫不提供,台北市內湖區,2020-05-25 11:56:00,,電視業,https://www.104.com.tw/company/1xefprk?jobsource=checkc,暫不提供,
星裕國際股份有限公司,暫不提供,台北市內湖區,2020-05-25 11:58:00,,綜合商品批發代理業,https://www.104.com.tw/company/e6ysigo?jobsource=checkc,14億,
柏登生醫股份有限公司,14,台北市內湖區,2020-05-25 11:56:00,,其他醫療保健服務業,https://www.104.com.tw/company/d696avk?jobsource=checkc,5億,
中環股份有限公司,暫不提供,桃園市龜山區,2020-05-25 11:55:00,,資料儲存媒體製造及複製業,https://www.104.com.tw/company/5lujxpc?jobsource=checkc,188億,
台灣麥當勞_和德昌股份有限公司,20000,台北市中正區,2020-05-18 10:27:00,,其他餐飲業,https://www.104.com.tw/company/5p9a8cg?jobsource=checkc,暫不提供,
宏匯集團_宏匯思源股份有限公司,150,新北市三重區,2020-05-25 11:57:00,,不動產經營業,https://www.104.com.tw/company/1a2x6biqyo?jobsource=checkc,13億2000萬元,
西門子歌美颯離岸風力再生能源股份有限公司,暫不提供,台北市中山區,2020-05-25 11:55:00,,其他相關製造業,https://www.104.com.tw/company/1a2x6bkxju?jobsource=checkc,暫不提供,
台灣索尼股份有限公司,350,台北市中山區,2020-05-18 10:30:00,,消費性電子產品製造業,https://www.104.com.tw/company/at4rvwy?jobsource=checkc,900萬元,
美商安碼商務系統股份有限公司台灣分公司,暫不提供,台北市大安區,2020-05-11 10:03:00,,電腦軟體服務業,https://www.104.com.tw/company/cilvrew?jobsource=checkc,暫不提供,
愛瑪麗歐股份有限公司,60,台北市內湖區,2020-05-25 11:57:00,,電腦及其週邊設備製造業,https://www.104.com.tw/company/1a2x6bi84j?jobsource=checkc,1億9410萬元,
瑞士商_台灣科萊恩化學股份有限公司,130,台北市中山區,2020-05-18 10:28:00,,化學原料製造業,https://www.104.com.tw/company/10zs8nc8?jobsource=checkc,2388萬元,
東培工業股份有限公司,1400,桃園市八德區,2020-05-25 11:55:00,,其他金屬相關製造業,https://www.104.com.tw/company/3bewjmo?jobsource=checkc,12億5723萬元,
怡東人事顧問股份有限公司,暫不提供,台北市松山區,2020-05-25 11:55:00,,人力仲介代徵,https://www.104.com.tw/company/webvtu8?jobsource=checkc,暫不提供,
億力資訊股份有限公司,180,台北市松山區,2020-05-25 11:55:00,,電腦軟體服務業,https://www.104.com.tw/company/bjvssxk?jobsource=checkc,1億,
亞洲水泥股份有限公司,480,台北市大安區,2020-05-25 11:56:00,,水泥及水泥製品製造業,https://www.104.com.tw/company/1hnp360?jobsource=checkc,330億,
麗臺科技股份有限公司,290,新北市中和區,2020-05-04 10:08:00,,電腦及其週邊設備製造業,https://www.104.com.tw/company/a97q9sg?jobsource=checkc,5億3587萬元,潛在客戶(Prospect)
東慧國際諮詢顧問股份有限公司,暫不提供,台北市中山區,2020-05-25 11:58:00,,人力仲介代徵,https://www.104.com.tw/company/7k26q7c?jobsource=checkc,1億,
香港商艾沛克斯利益得工具有限公司台灣分公司,300,台中市西屯區,2020-05-25 11:56:00,,金屬手工具製造業,https://www.104.com.tw/company/d29ropk?jobsource=checkc,暫不提供,
晶順工業有限公司,10,彰化縣芳苑鄉,2020-05-18 10:31:00,,其他相關製造業,https://www.104.com.tw/company/oqkzeq0?jobsource=checkc,100萬元,
新人類資訊科技股份有限公司,100,新北市新店區,2020-05-25 11:57:00,,電腦軟體服務業,https://www.104.com.tw/company/akasp5c?jobsource=checkc,2億,
卡爾蔡司股份有限公司,暫不提供,新竹市,2020-05-25 11:55:00,,其他商品批發業,https://www.104.com.tw/company/ddbh81c?jobsource=checkc,4億8000萬元,
亞崴機電股份有限公司,478,新竹縣新埔鎮,2020-05-25 11:55:00,,精密儀器相關製造業,https://www.104.com.tw/company/a7k0a3k?jobsource=checkc,9億4952萬元,
