name,count
台灣恩悌悌數據股份有限公司,16
Gogoro Taiwan Limited_睿能創意股份有限公司,16
藝珂人事顧問股份有限公司,15
緯創資通股份有限公司,13
千附實業股份有限公司,13
健策精密工業股份有限公司,13
奇力新電子股份有限公司,12
Advantech_研華股份有限公司,11
泰詠電子股份有限公司,11
廣達電腦股份有限公司,10
鴻佰科技股份有限公司,10
萬寶華企業管理顧問股份有限公司,10
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,9
東碩資訊股份有限公司,9
美律實業股份有限公司,8
台灣大昌華嘉股份有限公司,8
新加坡商立可人事顧問有限公司台灣分公司,8
西門子歌美颯離岸風力再生能源股份有限公司,8
光寶科技股份有限公司,7
新加坡商安富利股份有限公司台灣分公司,7
(台泥)臺灣水泥股份有限公司,7
DHL_台灣敦豪供應鏈股份有限公司,7
美磊科技股份有限公司,7
Cooler Master_訊凱國際股份有限公司,7
Deloitte_香港商德勤太平洋企業管理咨詢有限公司台灣分公司,6
艾威科軟體股份有限公司,6
祥圃實業股份有限公司,6
敦陽科技股份有限公司,6
緯穎科技服務股份有限公司,6
樺漢科技股份有限公司_鴻海集團,5
乾坤科技股份有限公司_台達電子集團,5
香港商麥迪康亞太有限公司台灣分公司,5
町洋企業股份有限公司,5
碩益科技股份有限公司,5
華夏玻璃股份有限公司,5
康揚股份有限公司,5
國巨股份有限公司,5
思達科技股份有限公司,5
英屬維京群島商祥茂光電科技股份有限公司台灣分公司,5
美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,5
台灣麥匯資訊科技股份有限公司,4
嘉捷科技企業股份有限公司,4
伊雲谷數位科技股份有限公司,4
宏亞食品股份有限公司,4
合晶科技股份有限公司,4
虎門科技股份有限公司,4
美時化學製藥股份有限公司,4
晶元光電股份有限公司(晶電),4
聯新國際醫院(原名稱:壢新醫院),4
帝寶工業股份有限公司,4
佳瑪百貨股份有限公司,4
永進機械工業股份有限公司,4
"大江生醫股份有限公司(TCI CO., Ltd)",4
英商飛特帝亞有限公司台灣分公司,4
泰洛斯製造股份有限公司,4
香港商數立國際股份有限公司台灣分公司,4
中環股份有限公司,4
貿聯國際股份有限公司,4
鴻海精密工業股份有限公司,4
台灣恩悌悌系統股份有限公司,4
可成科技股份有限公司,4
台灣立訊精密有限公司,4
西柏科技股份有限公司,4
四零四科技股份有限公司,4
永信集團_永鴻國際生技股份有限公司,3
英屬維京群島商華威仲成股份有限公司台灣分公司,3
